SITE_NAME,COEFF_VARIATION
0001BB,0.07412619969828207
0001BR,0.06006796278435317
0001KO,0.11163076042274823
0002BB,0.0750734168668016
0002BR,0.08952183663254769
0002KO,0.0741229958644796
0003BB,0.10573560714395304
0003BR,0.0653978068740446
0003KO,0.08789577140519796
0004BB,0.21624307450561592
0004BR,0.0788328843712625
0004KO,0.08478522788818509
0005KO,1.0238208638846773
0006BB,0.11152942554179746
0006BR,0.9550124392735804
0007BB,0.19132652564418096
0007BR,0.16212000324926235
0007KO,0.08465099387996734
0008BB,1.5013864052633934
0008BR,0.49771960670972776
0008KO,0.0662144022522014
0009BB,0.07705713412393253
0009BR,0.057290974712327095
0009KO,0.06359615970198464
0010BB,0.07944365934785476
0010BR,0.07037849248519182
0010KO,0.06696566323022338
0011BB,0.11559193159781489
0011BR,0.07882873642419803
0011KO,0.07327702456156106
0012BB,0.08695945124179566
0012BR,0.08852237583807815
0012KO,0.0987174239944171
0013BB,0.04821584966691458
0013BR,0.08562633611326173
0013KO,0.09035085579422475
0014BR,0.03564555671457053
0014KO,0.09227460058118071
0015BB,0.07058998430550359
0015BR,0.033426512673927766
0015KO,0.15489707357199078
0016BB,0.16549477345668548
0016BR,0.12629615513340878
0016KO,0.11003702222767177
0017BB,0.07137289541344308
0017BR,0.1298970117549363
0017KO,0.15552849279584144
0018BB,0.06304063880840656
0018BR,0.10443419536142004
0018KO,0.0698179397982376
0019BB,0.07123253438110647
0019BR,1.523576684153571
0019KO,0.14825699729577954
0020BB,0.04029120029944135
0020BR,0.09423289890648674
0020KO,0.06211931472372522
0021BB,1.5498548080390184
0021BR,0.13298293930012264
0021KO,0.07029772361531385
0022BB,0.07528936773163843
0022BR,0.09150117115898643
0022KO,0.1125267586409325
0023BB,0.07777226665611198
0023BR,0.08581349029717016
0023KO,0.13792533732041773
0024BB,0.03923343768843825
0024BR,0.04409589697266493
0024KO,0.14395496716036568
0025BB,0.08065124626954526
0025BR,0.06434208316159767
0025KO,0.05041001101075838
0026BB,0.12716992816157194
0026BR,0.09668465385408546
0026KO,0.08066452712371232
0027BR,0.0995667741506009
0027KO,0.12131729716322283
0028BB,0.16665531554541943
0028KO,0.10023161376354235
0029BB,0.07236099398151728
0029BR,1.4824824823980138
0029KO,0.10218912834194438
0030BB,0.07207163643030022
0030BR,0.10017057200930758
0030KO,0.2846103875489006
0031BB,0.07302971875658562
0031BR,0.8082223872512706
0031KO,0.18600936352319095
0032BB,0.16374703712193076
0032BR,0.08157191475167157
0032KO,0.10540145623409618
0033BB,0.09944556928450478
0033BR,0.07532254541100293
0033KO,0.1526681554291105
0034BB,0.11672473351560783
0034BR,0.21446412996945952
0034KO,0.08320867529940855
0035BB,0.2253095609828997
0035BR,0.06411347373362608
0035KO,0.08757878559634623
0036BB,0.19767518135574963
0036BR,0.07539777835767796
0036KO,0.08291303382999708
0037BB,0.036229642918022026
0037BR,0.6479044694826644
0037KO,0.052904869703527695
0038BB,0.7713353348725741
0038BR,0.07775266604924184
0038KO,0.05764798896493627
0039BB,0.008355687358688333
0039BR,0.1035254001375342
0039KO,0.12283375184128437
0040BB,0.05708635059370305
0040BR,0.4836956891297801
0040KO,0.08350571829584089
0041BR,0.07205682728519992
0041KO,0.12342816570615338
0042BB,0.02857592761485855
0042BR,0.059075040026930065
0042KO,0.045130355145429325
0043BB,0.12405749357599054
0043BR,0.49535644794776607
0043KO,0.1527499663777641
0044BB,0.1255175832841551
0044BR,0.4905144437538488
0044KO,0.4890988450940057
0045BB,0.2129897028937327
0045BR,0.12701080944689405
0045KO,0.16976594382260782
0046BB,0.03486694206139526
0046BR,0.08150449050225918
0046KO,0.0725035171536215
0047BB,0.21808715910224805
0047BR,0.058611451718480034
0047KO,0.9027828569966485
0048BB,0.12633679565586406
0048BR,0.12082376645255459
0048KO,0.009731641872776836
0049BB,0.09718696475525926
0049BR,0.20892061129461992
0050BR,0.26418106442415834
0050KO,0.24054345083145748
0051BB,0.04486228896747365
0051BR,0.25351123474970566
0051KO,0.298711618643027
0052BR,0.10075284805240702
0052KO,0.08296149588641433
0053BB,0.059804992383300566
0053BR,0.07754615351039035
0053KO,0.07053160285516505
0054BB,0.0859137071215054
0054BR,0.07719839341698594
0054KO,0.12310915782734541
0055BR,0.33543386808327175
0055KO,0.08913181293969652
0056BB,1.0121768983489086
0056BR,0.06093905851084853
0056KO,0.0487228041237414
0057BR,0.07189198966794372
